subject, run, tests, empirical, laplace, localgt, reset1, reset10, b1, f1, f2, f3, f4, v1, v2, v3, v4
libcap, 8, 419430400, 128,  631, 735, 613, 6, 28,  0, 0, 0, 0,  3, 0, 0, 0
libcap, 8, 838860800, 434,  1003, 1162, 1802, 280, 3,  0, 0, 0, 0,  3, 0, 2, 1
libcap, 9, 100, 0,  1, 1, 4, 0, 0,  0, 0, 0, 0,  0, 0, 0, 0
libcap, 9, 200, 18,  2, 2, 24, 0, 0,  1, 0, 0, 0,  1, 0, 0, 0
libcap, 9, 400, 0,  2, 2, 17, 0, 0,  1, 0, 0, 0,  1, 0, 0, 0
libcap, 9, 800, 1,  2, 2, 9, 0, 3,  1, 0, 0, 0,  1, 0, 0, 0
libcap, 9, 1600, 1,  2, 2, 7, 0, 3,  1, 0, 0, 0,  1, 0, 0, 0
libcap, 9, 3200, 0,  3, 4, 8, 0, 0,  1, 0, 0, 0,  1, 0, 0, 0
libcap, 9, 6400, 3,  4, 5, 4, 0, 0,  1, 0, 0, 0,  1, 0, 0, 0
libcap, 9, 12800, 1,  3, 3, 2, 0, 1,  1, 0, 0, 0,  1, 0, 0, 0
libcap, 9, 25600, 133,  22, 128, 312, 12, 6,  1, 0, 0, 0,  15, 2, 1, 0
libcap, 9, 51200, 292,  36, 104, 1562, 3, 7,  1, 0, 0, 0,  29, 17, 3, 3
libcap, 9, 102400, 261,  45, 89, 1377, 13, 12,  1, 0, 0, 0,  15, 3, 5, 4
libcap, 9, 204800, 56,  57, 95, 2197, 37, 8,  1, 0, 0, 0,  14, 3, 3, 6
libcap, 9, 409600, 70,  64, 117, 2744, 13, 8,  1, 0, 0, 0,  9, 1, 2, 3
libcap, 9, 819200, 83,  72, 139, 19191, 992, 4,  1, 0, 0, 0,  54, 0, 1, 0
