subject, run, tests, empirical, laplace, localgt, reset1, reset10, b1, f1, f2, f3, f4, v1, v2, v3, v4
libcap, 8, 6400, 1,  4, 5, 2, 0, 1,  0, 0, 0, 0,  0, 0, 0, 0
libcap, 8, 12800, 2,  4, 4, 1, 0, 0,  0, 0, 0, 0,  0, 0, 0, 0
libcap, 8, 25600, 68,  23, 210, 182, 38, 3,  1, 0, 0, 0,  6, 0, 0, 1
libcap, 8, 51200, 163,  37, 88, 301, 61, 18,  0, 0, 0, 2,  16, 12, 2, 0
libcap, 8, 102400, 101,  39, 102, 178, 9, 12,  0, 2, 0, 0,  29, 6, 2, 3
libcap, 8, 204800, 84,  54, 109, 540, 11, 13,  0, 0, 0, 0,  19, 4, 3, 4
libcap, 8, 409600, 121,  71, 122, 2243, 29, 261,  0, 2, 0, 0,  9, 8, 3, 5
libcap, 8, 819200, 71,  84, 151, 1789, 16, 11,  0, 0, 0, 0,  9, 0, 5, 2
libcap, 8, 1638400, 102,  97, 150, 2409, 22, 9,  0, 0, 0, 1,  6, 0, 1, 0
libcap, 8, 3276800, 279,  274, 399, 5154, 103, 24,  0, 0, 0, 0,  28, 11, 2, 3
libcap, 8, 6553600, 267,  257, 323, 1674, 28, 56,  0, 0, 0, 0,  11, 10, 1, 4
libcap, 8, 13107200, 367,  280, 341, 99, 50, 14,  0, 0, 0, 0,  4, 3, 1, 1
libcap, 8, 26214400, 590,  457, 536, 8283, 39, 32,  0, 0, 0, 0,  16, 4, 1, 4
libcap, 8, 52428800, 440,  559, 616, 10829, 56, 39,  0, 0, 0, 0,  13, 2, 8, 1
libcap, 8, 104857600, 504,  581, 649, 68988, 3729, 70,  0, 0, 0, 0,  7, 2, 6, 0
libcap, 8, 209715200, 180,  605, 668, 1591, 358, 80,  0, 0, 0, 0,  3, 1, 2, 0
